Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked,Title,FamilySize,isAlone,AgeBin,FareBin,Sex_male,Sex_female,Embarked_S,Embarked_C,Embarked_Q,Pclass_3,Pclass_1,Pclass_2,Title_Mr,Title_Miss,Title_Master,Title_rare
0,3,male,0.33415918240941467,1,0,0.029115738554643292,S,Mr,2,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0
1,1,female,0.5819139052338185,1,0,0.286271162222373,C,Mr,2,0,3,4,0,1,0,1,0,0,1,0,1,0,0,0
1,3,female,0.39609786311551565,0,0,0.031826514213179044,S,Miss,1,1,2,1,0,1,1,0,0,1,0,0,0,1,0,0
1,1,female,0.5354598947042428,1,0,0.21324768513814604,S,Mr,2,0,3,4,0,1,1,0,0,0,1,0,1,0,0,0
0,3,male,0.5354598947042428,0,0,0.03232850970550048,S,Mr,1,1,3,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,0,0,0.03396822778161922,Q,Mr,1,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0
0,1,male,0.8296686280582224,0,0,0.20827792976416382,S,Mr,1,1,4,4,1,0,1,0,0,0,1,0,1,0,0,0
0,3,male,0.02446577887890988,3,1,0.08463644000539412,S,Master,5,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0
1,3,female,0.41158253329204086,0,2,0.044710931317297954,S,Mr,3,0,2,2,0,1,1,0,0,1,0,0,1,0,0,0
1,2,female,0.21028182099721276,1,0,0.12076324840399551,C,Mr,2,0,0,3,0,1,0,1,0,0,0,1,1,0,0,0
1,3,female,0.05543511923196036,1,1,0.06706659777414385,S,Miss,3,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0
1,1,female,0.8916073087643234,0,0,0.10662384256907302,S,Miss,1,1,4,3,0,1,1,0,0,0,1,0,0,1,0,0
0,3,male,0.3031898420563642,0,0,0.03232850970550048,S,Mr,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.5973985754103438,1,5,0.1255992721788233,S,Mr,7,0,3,3,1,0,1,0,0,1,0,0,1,0,0,0
0,3,female,0.21028182099721276,0,0,0.031542183966328186,S,Miss,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0
1,2,female,0.8451532982347476,0,0,0.06425542301714382,S,Mr,1,1,4,2,0,1,1,0,0,0,0,1,1,0,0,0
0,3,male,0.02446577887890988,4,1,0.1169649497108946,Q,Master,6,0,0,3,1,0,0,0,1,1,0,0,0,0,1,0
1,2,male,0.45803654382161657,0,0,0.052207531201429354,S,Mr,1,1,2,2,1,0,1,0,0,0,0,1,1,0,0,0
0,3,female,0.47352121399814184,1,0,0.0722873508942868,S,Mr,2,0,3,2,0,1,1,0,0,1,0,0,1,0,0,0
1,3,female,0.32641684732115206,0,0,0.029015339456179005,C,Mr,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0
0,2,male,0.5354598947042428,0,0,0.10441506240285871,S,Mr,1,1,3,3,1,0,1,0,0,0,0,1,1,0,0,0
1,2,male,0.5199752245277175,0,0,0.052207531201429354,S,Mr,1,1,3,2,1,0,1,0,0,0,0,1,1,0,0,0
1,3,female,0.225766491173738,0,0,0.0322449776555782,Q,Miss,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
1,1,male,0.4270672034685661,0,0,0.14256671981928784,S,Mr,1,1,2,3,1,0,1,0,0,0,1,0,1,0,0,0
0,3,female,0.11737379993806132,3,1,0.08463644000539412,S,Miss,5,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0
1,3,female,0.5819139052338185,1,5,0.1260510681219126,S,Mr,7,0,3,3,0,1,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,0,0,0.029015339456179005,C,Mr,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0
0,1,male,0.28770517187983896,3,2,1.0,S,Mr,6,0,0,4,1,0,1,0,0,0,1,0,1,0,0,0
1,3,female,0.32641684732115206,0,0,0.03164258306479247,Q,Miss,1,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0
0,3,male,0.3806131929389904,0,0,0.031709248066172764,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
0,1,male,0.612883245586869,0,0,0.11132573314835252,C,rare,1,1,3,3,1,0,0,1,0,0,1,0,0,0,0,1
1,1,female,0.5354598947042428,1,0,0.5884222490506454,C,Mr,2,0,3,4,0,1,0,1,0,0,1,0,1,0,0,0
1,3,female,0.32641684732115206,0,0,0.031123720523929036,Q,Miss,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
0,2,male,1.0,0,0,0.04216762135500063,S,Mr,1,1,4,1,1,0,1,0,0,0,0,1,1,0,0,0
0,1,male,0.4270672034685661,1,0,0.32999496960357005,C,Mr,2,0,2,4,1,0,0,1,0,0,1,0,1,0,0,0
0,1,male,0.6438525859399195,1,0,0.20883012480571742,S,Mr,2,0,4,4,1,0,1,0,0,0,1,0,1,0,0,0
1,3,male,0.3806131929389904,0,0,0.029032206504721002,C,Mr,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0
0,3,male,0.3186745122328894,0,0,0.03232850970550048,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,female,0.2722205017033137,2,0,0.0722873508942868,S,Miss,3,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0
1,3,female,0.21028182099721276,1,0,0.0451462618082391,C,Miss,2,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0
0,3,female,0.612883245586869,1,0,0.03805125831796485,S,Mr,2,0,3,1,0,1,1,0,0,1,0,0,1,0,0,0
0,2,female,0.41158253329204086,1,0,0.08433524271000126,S,Mr,2,0,2,2,0,1,1,0,0,0,0,1,1,0,0,0
0,3,male,0.3806131929389904,0,0,0.031709248066172764,C,Mr,1,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0
1,2,female,0.03995044905543512,1,2,0.16698056779465165,C,Miss,4,0,0,4,0,1,0,1,0,0,0,1,0,1,0,0
1,3,female,0.28770517187983896,0,0,0.03164258306479247,Q,Miss,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
0,3,male,0.3806131929389904,0,0,0.03232850970550048,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,1,0,0.06224744104785807,Q,Mr,2,0,1,2,1,0,0,0,1,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,2,0,0.08706288541707902,C,Mr,3,0,1,2,1,0,0,1,0,1,0,0,1,0,0,0
0,3,female,0.2722205017033137,1,0,0.0714841581065725,S,Mr,2,0,0,2,0,1,1,0,0,1,0,0,1,0,0,0
0,3,male,0.10188912976153608,4,1,0.15938356881205595,S,Master,6,0,0,3,1,0,1,0,0,1,0,0,0,0,1,0
0,3,male,0.3186745122328894,0,0,0.03132451872085761,S,Mr,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
1,1,female,0.7522452771755962,1,0,0.30814170023543946,C,Mr,2,0,4,4,0,1,0,1,0,0,1,0,1,0,0,0
1,2,female,0.44255187364509135,1,0,0.10441506240285871,S,Mr,2,0,2,3,0,1,1,0,0,0,0,1,1,0,0,0
0,1,male,1.0,0,1,0.24890623214151,C,Mr,2,0,4,4,1,0,0,1,0,0,1,0,1,0,0,0
1,1,male,0.612883245586869,0,0,0.14256671981928784,S,Mr,1,1,3,3,1,0,1,0,0,0,1,0,1,0,0,0
1,2,female,0.3186745122328894,0,0,0.04216762135500063,S,Miss,1,1,1,1,0,1,1,0,0,0,0,1,0,1,0,0
0,3,male,0.43480953855682875,0,0,0.029032206504721002,C,Mr,1,1,2,0,1,0,0,1,0,1,0,0,1,0,0,0
1,2,female,0.0709197894084856,1,2,0.11144299929535881,S,Miss,4,0,0,3,0,1,1,0,0,0,0,1,0,1,0,0
0,3,male,0.16382781046763706,5,2,0.1883487087190028,S,Master,8,0,0,4,1,0,1,0,0,1,0,0,0,0,1,0
0,3,male,0.33415918240941467,0,0,0.029032206504721002,C,Mr,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0,0
1,1,female,0.5819139052338185,0,0,0.3212771150857191,S,Miss,1,1,3,4,0,1,1,0,0,0,1,0,0,1,0,0
0,1,male,0.6903065964694952,1,0,0.335232589772255,S,Mr,2,0,4,4,1,0,1,0,0,0,1,0,1,0,0,0
0,3,male,0.05543511923196036,3,2,0.11204539388614453,S,Master,6,0,0,3,1,0,1,0,0,1,0,0,0,0,1,0
0,1,male,0.612883245586869,0,0,0.11132573314835252,C,Mr,1,1,3,3,1,0,0,1,0,0,1,0,1,0,0,0
1,3,male,0.3806131929389904,1,1,0.061226583014673194,C,Master,3,0,1,2,1,0,0,1,0,1,0,0,0,0,1,0
1,2,female,0.44255187364509135,0,0,0.04216762135500063,S,Mr,1,1,2,1,0,1,1,0,0,0,0,1,1,0,0,0
0,3,male,0.28770517187983896,0,0,0.032763438600047774,S,Mr,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
1,3,female,0.25673583152678847,4,2,0.031826514213179044,S,Miss,7,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
0,3,male,0.39609786311551565,2,0,0.034788287617875516,S,Mr,3,0,2,1,1,0,1,0,0,1,0,0,1,0,0,0
0,2,male,0.48900588417466706,0,0,0.04216762135500063,S,Mr,1,1,3,1,1,0,1,0,0,0,0,1,1,0,0,0
0,3,female,0.24125116135026325,5,2,0.1883487087190028,S,Miss,8,0,0,4,0,1,1,0,0,1,0,0,0,1,0,0
0,2,male,0.3186745122328894,0,0,0.2951733494850044,S,Mr,1,1,1,4,1,0,1,0,0,0,0,1,1,0,0,0
0,3,male,0.39609786311551565,1,0,0.05804754596090001,C,Mr,2,0,2,2,1,0,0,1,0,1,0,0,1,0,0,0
1,3,male,0.48900588417466706,0,0,0.22688509548074712,S,Mr,1,1,3,4,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,0,0,0.03072212413007189,S,Mr,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
1,2,male,0.006348714772375348,0,2,0.11646295421857317,S,Master,3,0,0,3,1,0,1,0,0,0,0,1,0,0,1,0
1,3,female,0.45803654382161657,0,0,0.05009915013367932,S,Miss,1,1,2,2,0,1,1,0,0,1,0,0,0,1,0,0
0,3,male,0.33415918240941467,0,0,0.0361436754471434,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
1,3,male,0.44255187364509135,0,0,0.03815165741642914,S,Mr,1,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0
1,3,female,0.32641684732115206,0,0,0.031274319171625466,Q,Miss,1,1,1,0,0,1,0,0,1,1,0,0,0,1,0,0
0,1,male,0.4270672034685661,0,0,0.18915190150671712,S,Mr,1,1,2,4,1,0,1,0,0,0,1,0,1,0,0,0
1,2,female,0.25673583152678847,0,0,0.04216762135500063,S,Miss,1,1,0,1,0,1,1,0,0,0,0,1,0,1,0,0
1,3,female,0.5044905543511923,3,0,0.06365302842635809,S,Mr,4,0,3,2,0,1,1,0,0,1,0,0,1,0,0,0
0,3,male,0.24125116135026325,1,3,0.13804876038839492,S,Mr,5,0,0,3,1,0,1,0,0,1,0,0,1,0,0,0
1,1,female,0.3496438525859399,3,2,1.0,S,Miss,6,0,1,4,0,1,1,0,0,0,1,0,0,1,0,0
0,3,male,0.36512852276246516,0,0,0.03232850970550048,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.44255187364509135,0,0,0.03232850970550048,S,Mr,1,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3031898420563642,0,0,0.031542183966328186,S,Mr,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,1,male,0.7057912666460204,1,0,0.2456765939421108,S,Mr,2,0,4,4,1,0,1,0,0,0,1,0,1,0,0,0
0,3,male,0.39609786311551565,1,2,0.08262845803610838,S,Mr,4,0,2,2,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.9070919789408486,0,0,0.029115738554643292,S,Mr,1,1,4,0,1,0,1,0,0,1,0,0,1,0,0,0
0,1,male,1.0,0,0,0.1391700175200441,C,Mr,1,1,4,3,1,0,0,1,0,0,1,0,1,0,0,0
1,1,male,0.3496438525859399,0,1,0.2544446480091939,C,Mr,2,0,1,4,1,0,0,1,0,0,1,0,1,0,0,0
1,2,female,0.5199752245277175,0,1,0.09236717058714423,S,Mr,2,0,3,3,0,1,1,0,0,0,0,1,1,0,0,0
0,2,male,0.5199752245277175,1,0,0.10441506240285871,S,Mr,2,0,3,3,1,0,1,0,0,0,0,1,1,0,0,0
0,3,female,0.4270672034685661,0,0,0.031709248066172764,S,Miss,1,1,2,1,0,1,1,0,0,1,0,0,0,1,0,0
0,1,male,0.3186745122328894,0,1,0.3103838129023439,S,Mr,2,0,1,4,1,0,1,0,0,0,1,0,1,0,0,0
0,3,male,0.5044905543511923,0,0,0.03475495511718538,S,Mr,1,1,3,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.5664292350572933,2,0,0.031826514213179044,S,Mr,3,0,3,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.4270672034685661,0,0,0.031709248066172764,S,Mr,1,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0
1,3,female,0.3186745122328894,0,0,0.03072212413007189,S,Miss,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,3,male,0.3806131929389904,0,0,0.031224119622393326,S,Mr,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.5819139052338185,0,0,0.031709248066172764,S,Mr,1,1,3,1,1,0,1,0,0,1,0,0,1,0,0,0
1,3,female,0.32641684732115206,1,0,0.09698552911650145,Q,Miss,2,0,1,3,0,1,0,0,1,1,0,0,0,1,0,0
0,1,male,0.7212759368225456,0,0,0.20883012480571742,S,Mr,1,1,4,4,1,0,1,0,0,0,1,0,1,0,0,0
0,3,female,0.21802415608547537,1,0,0.05804754596090001,C,Miss,2,0,0,2,0,1,0,1,0,1,0,0,0,1,0,0
0,3,male,0.33415918240941467,0,0,0.03232850970550048,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,female,0.3031898420563642,1,0,0.03945684569646487,S,Miss,2,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0
0,3,female,0.25673583152678847,0,0,0.05806401141304815,C,Miss,1,1,0,2,0,1,0,1,0,1,0,0,0,1,0,0
0,3,male,0.3186745122328894,0,0,0.031826514213179044,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,1.0,0,0,0.031123720523929036,Q,Mr,1,1,4,0,1,0,0,0,1,1,0,0,1,0,0,0
0,2,male,0.44255187364509135,1,0,0.08433524271000126,S,Mr,2,0,2,2,1,0,1,0,0,0,0,1,1,0,0,0
0,1,male,0.36512852276246516,0,1,0.9940346068463658,C,Mr,2,0,1,4,1,0,0,1,0,0,1,0,1,0,0,0
0,3,female,0.02446577887890988,4,2,0.1255992721788233,S,Miss,7,0,0,3,0,1,1,0,0,1,0,0,0,1,0,0
0,2,male,0.3186745122328894,2,0,0.2951733494850044,S,Mr,3,0,1,4,1,0,1,0,0,0,0,1,1,0,0,0
0,2,male,0.49674821926292967,1,0,0.12076324840399551,C,Mr,2,0,3,3,1,0,0,1,0,0,0,1,1,0,0,0
1,2,female,0.49674821926292967,0,0,0.052207531201429354,S,Miss,1,1,3,2,0,1,1,0,0,0,0,1,0,1,0,0
0,1,male,0.8296686280582224,0,1,0.3103838129023439,S,Mr,2,0,4,4,1,0,1,0,0,0,1,0,1,0,0,0
1,3,male,0.17931248064416228,1,0,0.0451462618082391,C,Master,2,0,0,2,1,0,0,1,0,1,0,0,0,0,1,0
0,3,male,0.3806131929389904,0,0,0.031123720523929036,Q,Mr,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,0
1,3,male,0.36512852276246516,0,0,0.028680809660096,S,Mr,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
1,3,female,0.32641684732115206,1,1,0.08979012652776291,C,Miss,3,0,1,3,0,1,0,1,0,1,0,0,0,1,0,0
0,3,male,0.6903065964694952,0,0,0.02801134847153613,S,Mr,1,1,4,0,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.5044905543511923,0,0,0.031709248066172764,C,Mr,1,1,3,1,1,0,0,1,0,1,0,0,1,0,0,0
0,3,male,0.3031898420563642,0,0,0.028312545766928994,S,Mr,1,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,3,female,0.7212759368225456,1,0,0.058231477109286583,S,Mr,2,0,4,2,0,1,1,0,0,1,0,0,1,0,0,0
0,2,male,0.3806131929389904,0,0,0.052207531201429354,S,Mr,1,1,1,2,1,0,1,0,0,0,0,1,1,0,0,0
0,2,male,0.3496438525859399,0,0,0.060423390226958903,C,Mr,1,1,1,2,1,0,0,1,0,0,0,1,1,0,0,0
1,1,female,0.28770517187983896,0,2,0.105552784986656,S,Miss,3,0,0,3,0,1,1,0,0,0,1,0,0,1,0,0
0,1,male,0.5664292350572933,1,0,0.21324768513814604,S,Mr,2,0,3,4,1,0,1,0,0,0,1,0,1,0,0,0
0,3,male,0.24125116135026325,0,0,0.03701393483263184,S,Mr,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
0,1,male,0.36512852276246516,0,0,0.3180643439348619,C,Mr,1,1,1,4,1,0,0,1,0,0,1,0,1,0,0,0
0,3,female,0.32641684732115206,0,2,0.061226583014673194,C,Mr,3,0,1,2,0,1,0,1,0,1,0,0,1,0,0,0
1,3,female,0.33415918240941467,0,0,0.031123720523929036,S,Miss,1,1,1,0,0,1,1,0,0,1,0,0,0,1,0,0
1,3,female,0.36512852276246516,1,0,0.06365302842635809,S,Mr,2,0,1,2,0,1,1,0,0,1,0,0,1,0,0,0
0,3,male,0.28770517187983896,0,0,0.027107756585357547,Q,Mr,1,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0
0,2,male,0.2722205017033137,0,0,0.04618358529357212,S,Mr,1,1,0,2,1,0,1,0,0,0,0,1,1,0,0,0
0,2,male,0.28770517187983896,1,1,0.1475866747425022,S,Mr,3,0,0,3,1,0,1,0,0,0,0,1,1,0,0,0
1,3,male,0.41158253329204086,0,0,0.03130765167231561,S,Mr,1,1,2,0,1,0,1,0,0,1,0,0,1,0,0,0
0,3,female,0.13285847011458657,2,2,0.13804876038839492,S,Miss,5,0,0,3,0,1,1,0,0,1,0,0,0,1,0,0
0,2,male,0.5586868999690306,0,2,0.10441506240285871,S,Mr,3,0,3,3,1,0,1,0,0,0,0,1,1,0,0,0
0,2,male,0.6438525859399195,0,0,0.052207531201429354,S,rare,1,1,4,2,1,0,1,0,0,0,0,1,0,0,0,1
0,2,male,0.7832146175286466,0,0,0.0502999483306079,S,rare,1,1,4,2,1,0,1,0,0,0,0,1,0,0,0,1
1,1,female,0.33415918240941467,1,0,0.2674631983088611,S,Mr,2,0,1,4,0,1,1,0,0,0,1,0,1,0,0,0
0,3,male,0.8528956333230102,0,0,0.03232850970550048,S,Mr,1,1,4,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.6206255806751316,0,2,0.058231477109286583,S,Mr,3,0,4,2,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,0,0,0.02936673630080401,S,Mr,1,1,1,0,1,0,1,0,0,1,0,0,1,0,0,0
0,1,male,0.7832146175286466,0,1,0.2464966537783671,C,Mr,2,0,4,4,1,0,0,1,0,0,1,0,1,0,0,0
1,3,female,0.24125116135026325,0,0,0.031056653926154892,Q,Miss,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0
0,3,male,0.45803654382161657,0,0,0.03232850970550048,S,Mr,1,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,0,0,0.034788287617875516,S,Mr,1,1,1,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,8,2,0.279310291927647,S,Master,11,0,1,4,1,0,1,0,0,1,0,0,0,0,1,0
0,3,male,0.67482192629297,0,1,0.06465701941100097,S,Mr,2,0,4,2,1,0,1,0,0,1,0,0,1,0,0,0
1,2,female,0.612883245586869,0,0,0.06325143203250094,S,Mr,1,1,3,2,0,1,1,0,0,0,0,1,1,0,0,0
0,3,male,0.39609786311551565,0,0,0.031224119622393326,S,Mr,1,1,2,0,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.25673583152678847,0,0,0.034788287617875516,S,Mr,1,1,0,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.00898110870238464,4,1,0.15938356881205595,S,Master,6,0,0,3,1,0,1,0,0,1,0,0,0,0,1,0
1,3,male,0.13285847011458657,0,2,0.0824276598391798,S,Master,3,0,0,2,1,0,1,0,0,1,0,0,0,0,1,0
1,1,female,0.5354598947042428,0,1,0.22087801662143186,S,Mr,2,0,3,4,0,1,1,0,0,0,1,0,1,0,0,0
0,3,female,0.6903065964694952,1,4,0.11204539388614453,S,Mr,6,0,4,3,0,1,1,0,0,1,0,0,1,0,0,0
0,1,male,0.612883245586869,0,0,0.10411386510746584,S,Mr,1,1,3,3,1,0,1,0,0,0,1,0,1,0,0,0
0,3,male,0.4270672034685661,0,0,0.22688509548074712,S,Mr,1,1,2,4,1,0,1,0,0,1,0,0,1,0,0,0
0,1,male,0.938061319293899,0,0,0.13453479194214488,S,Mr,1,1,4,3,1,0,1,0,0,0,1,0,1,0,0,0
0,3,male,0.05543511923196036,4,1,0.1169649497108946,Q,Master,6,0,0,3,1,0,0,0,1,1,0,0,0,0,1,0
1,3,female,0.00898110870238464,1,1,0.044710931317297954,S,Miss,3,0,0,2,0,1,1,0,0,1,0,0,0,1,0,0
0,1,male,0.8606379684112728,0,0,0.12327322586560269,C,Mr,1,1,4,3,1,0,0,1,0,0,1,0,1,0,0,0
0,3,male,0.2722205017033137,1,1,0.031542183966328186,S,Mr,3,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,3,1,0.10227334883441852,S,Master,5,0,1,3,1,0,1,0,0,1,0,0,0,0,1,0
0,1,female,0.7677299473521214,0,0,0.11530836458623386,C,Miss,1,1,4,3,0,1,0,1,0,0,1,0,0,1,0,0
0,2,male,0.45803654382161657,0,0,0.052207531201429354,S,Mr,1,1,2,2,1,0,1,0,0,0,0,1,1,0,0,0
0,3,male,0.550944564880768,0,0,0.0,S,Mr,1,1,3,0,1,0,1,0,0,1,0,0,1,0,0,0
0,3,female,0.32641684732115206,8,2,0.279310291927647,S,Miss,11,0,1,4,0,1,1,0,0,1,0,0,0,1,0,0
0,2,male,0.45803654382161657,0,0,0.060440257275500904,C,Mr,1,1,2,2,1,0,0,1,0,0,0,1,1,0,0,0
0,3,male,0.13285847011458657,4,2,0.1260510681219126,S,Master,7,0,0,3,1,0,1,0,0,1,0,0,0,0,1,0
1,2,male,0.00898110870238464,2,1,0.15662259360428807,S,Master,4,0,0,3,1,0,1,0,0,0,0,1,0,0,1,0
1,3,female,0.05543511923196036,0,2,0.08845160574703703,S,Miss,3,0,0,3,0,1,1,0,0,1,0,0,0,1,0,0
0,1,male,0.612883245586869,0,0,0.20079819692857442,S,Mr,1,1,3,4,1,0,1,0,0,0,1,0,1,0,0,0
1,3,female,0.32641684732115206,1,0,0.06224744104785807,Q,Mr,2,0,1,2,0,1,0,0,1,1,0,0,1,0,0,0
1,1,male,0.6903065964694952,0,0,0.10662384256907302,S,Mr,1,1,4,3,1,0,1,0,0,0,1,0,1,0,0,0
0,3,male,0.612883245586869,1,1,0.06224744104785807,Q,Mr,3,0,3,2,1,0,0,0,1,1,0,0,1,0,0,0
0,3,male,0.550944564880768,0,0,0.031709248066172764,S,Mr,1,1,3,1,1,0,1,0,0,1,0,0,1,0,0,0
1,2,female,0.48900588417466706,0,0,0.052207531201429354,S,Mr,1,1,3,2,0,1,1,0,0,0,0,1,1,0,0,0
0,2,male,0.28770517187983896,0,0,0.052207531201429354,S,Mr,1,1,0,2,1,0,1,0,0,0,0,1,1,0,0,0
1,3,female,0.28770517187983896,1,0,0.031542183966328186,S,Miss,2,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
1,2,male,0.03995044905543512,1,1,0.10441506240285871,S,Master,3,0,0,3,1,0,1,0,0,0,0,1,0,0,1,0
1,1,female,0.67482192629297,0,0,0.11132573314835252,C,Mr,1,1,4,3,0,1,0,1,0,0,1,0,1,0,0,0
1,1,female,0.8916073087643234,0,0,0.5884222490506454,C,Miss,1,1,4,4,0,1,0,1,0,0,1,0,0,1,0,0
0,3,male,0.6438525859399195,0,1,0.0337509641325425,S,Mr,2,0,4,1,1,0,1,0,0,1,0,0,1,0,0,0
0,2,female,0.36512852276246516,0,0,0.052207531201429354,S,Mr,1,1,1,2,0,1,1,0,0,0,0,1,1,0,0,0
0,3,male,0.4270672034685661,0,0,0.03815165741642914,S,Mr,1,1,2,1,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.3806131929389904,8,2,0.279310291927647,S,Mr,11,0,1,4,1,0,1,0,0,1,0,0,1,0,0,0
0,3,male,0.5199752245277175,0,0,0.026086898552172676,S,Mr,1,1,3,0,1,0,1,0,0,1,0,0,1,0,0,0
